,slice,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,method
111,47,0.0,0.0,0.9321129,0.9908173,0.009182696,0.9205273,0.9262839,0.9614651,0.13000822,0.015195313,Majority Voting
112,48,0.0,0.0,0.9248577,0.9874156,0.012584368,0.89398384,0.90915877,0.95613664,0.13000822,0.019023437,Majority Voting
113,49,0.0,0.0,0.9273278,0.9856695,0.014330517,0.88161206,0.9038923,0.9564986,0.13000822,0.020351563,Majority Voting
114,50,0.0,0.0,0.92899626,0.983588,0.016412048,0.8692174,0.8981132,0.9562921,0.13000822,0.022148438,Majority Voting
115,51,0.0,0.0,0.9334756,0.98723066,0.012769318,0.9001715,0.91652113,0.96035314,0.13000822,0.018671876,Majority Voting
116,52,0.0,0.0,0.9323152,0.9871913,0.012808662,0.9022506,0.91703653,0.9597533,0.13000822,0.018984376,Majority Voting
117,53,0.0,0.0,0.9384868,0.9907801,0.009219858,0.9320483,0.93525654,0.96463346,0.13000822,0.015429688,Majority Voting
118,54,0.0,0.0,0.9262613,0.99284697,0.0071530123,0.94677687,0.93640673,0.95955414,0.13000822,0.015195313,Majority Voting
119,55,0.0,0.0,0.9480892,0.989626,0.010373998,0.92741436,0.9376378,0.9688576,0.13000822,0.01546875,Majority Voting
120,56,0.0,0.0,0.9574535,0.98787177,0.012128239,0.91782475,0.9372204,0.9726626,0.13000822,0.015898438,Majority Voting
121,57,0.0,0.0,0.95202255,0.9899603,0.010039712,0.93100274,0.94139534,0.97099143,0.13000822,0.014765625,Majority Voting
122,58,0.0,0.0,0.96729404,0.9901158,0.009884163,0.9341478,0.950432,0.9787049,0.13000822,0.012773437,Majority Voting
123,59,0.0,0.0,0.9718615,0.99230975,0.007690244,0.94811463,0.9598412,0.9820856,0.13000822,0.010273438,Majority Voting
124,60,0.0,0.0,0.9655712,0.9904932,0.009506807,0.9354154,0.95025414,0.9780322,0.13000822,0.012617188,Majority Voting
125,61,0.0,0.0,0.9722665,0.98904866,0.010951342,0.9253641,0.94823563,0.9806576,0.13000822,0.013007812,Majority Voting
126,62,0.0,0.0,0.9455303,0.9905245,0.009475511,0.93268013,0.9390613,0.9680274,0.13000822,0.014960937,Majority Voting
127,63,0.0,0.0,0.910605,0.98923117,0.010768823,0.9165241,0.91355497,0.9499181,0.13000822,0.019804688,Majority Voting
128,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
129,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
130,2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
131,3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
132,4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
133,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
134,6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
135,7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
136,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
137,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
138,10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
139,11,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
140,12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
141,13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
142,14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
143,15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
144,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
145,17,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
146,18,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
147,19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
148,20,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
149,21,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
150,22,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
151,23,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
152,24,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
153,25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.11736035,0.0,Majority Voting No T1
154,26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.11736035,0.0019140625,Majority Voting No T1
155,27,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.11736035,0.005078125,Majority Voting No T1
156,28,0.0,0.0,0.2804878,1.0,0.0,1.0,0.43809524,0.6402439,0.11736035,0.0069140624,Majority Voting No T1
157,29,0.0,0.0,0.21359223,1.0,0.0,1.0,0.352,0.60679615,0.11736035,0.009492188,Majority Voting No T1
158,30,0.0,0.0,0.297235,0.99996024,3.973615e-05,0.99230766,0.4574468,0.64859766,0.11736035,0.011953125,Majority Voting No T1
159,31,0.0,0.0,0.41725352,0.99980026,0.00019974433,0.9793388,0.58518517,0.7085269,0.11736035,0.013125,Majority Voting No T1
160,32,0.0,0.0,0.56729376,0.99935764,0.0006423381,0.9607843,0.7133758,0.78332573,0.11736035,0.012304688,Majority Voting No T1
161,33,0.0,0.0,0.5169903,0.99983853,0.00016144656,0.9906977,0.67942584,0.75841445,0.11736035,0.015703125,Majority Voting No T1
162,34,0.0,0.0,0.5809129,0.99983764,0.00016236403,0.9929078,0.7329843,0.79037523,0.11736035,0.0159375,Majority Voting No T1
163,35,0.0,0.0,0.5121359,0.9995075,0.00049252994,0.98139536,0.67304623,0.7558217,0.11736035,0.024023438,Majority Voting No T1
164,36,0.0,0.0,0.7057239,0.98826456,0.011735435,0.7873779,0.7443182,0.8469942,0.11736035,0.028125,Majority Voting No T1
165,37,0.0,0.0,0.8981132,0.98976624,0.010233734,0.8727082,0.88522846,0.94393975,0.11736035,0.016875,Majority Voting No T1
166,38,0.0,0.0,0.9304652,0.9862294,0.013770603,0.8512586,0.8891013,0.9583473,0.11736035,0.018125,Majority Voting No T1
167,39,0.0,0.0,0.94656134,0.9911293,0.008870693,0.90734965,0.92654085,0.9688453,0.11736035,0.012617188,Majority Voting No T1
